t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17
3.6,3.6,3.6,0.8,0.8,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55
4.5,4.5,4.5,2.4,2.4,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55
4.5,4.5,4.5,2.4,2.4,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2
3.6,3.6,3.6,2.4,2.4,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5
2.7,2.7,2.7,0.8,0.8,7.65,7.65,7.65,7.65,7.65,7.65,7.65,7.65,7.65,7.65,7.65,7.65
,,,0.8,0.8,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9
,,,2.4,2.4,12.75,12.75,12.75,12.75,12.75,12.75,12.75,12.75,12.75,12.75,12.75,12.75
,,,2.4,2.4,11.05,11.05,11.05,11.05,11.05,11.05,11.05,11.05,11.05,11.05,11.05,11.05
,,,2.4,2.4,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25
,,,2.4,2.4,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95
3.6,3.6,3.6,2.4,2.4,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1
3.6,3.6,3.6,0.8,0.8,9.35,9.35,9.35,9.35,9.35,9.35,9.35,9.35,9.35,9.35,9.35,9.35
4.5,4.5,4.5,2.4,2.4,11.05,11.05,11.05,11.05,11.05,11.05,11.05,11.05,11.05,11.05,11.05,11.05
1.8,1.8,1.8,1.6,1.6,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25
4.5,4.5,4.5,1.6,1.6,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25
4.5,4.5,4.5,0.8,0.8,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55
2.7,2.7,2.7,0.8,0.8,9.35,9.35,9.35,9.35,9.35,9.35,9.35,9.35,9.35,9.35,9.35,9.35
1.8,1.8,1.8,1.6,1.6,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1
2.7,2.7,2.7,0.8,0.8,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9
1.8,1.8,1.8,2.4,2.4,12.75,12.75,12.75,12.75,12.75,12.75,12.75,12.75,12.75,12.75,12.75,12.75
,,,0.8,0.8,9.35,9.35,9.35,9.35,9.35,9.35,9.35,9.35,9.35,9.35,9.35,9.35
,,,0.8,0.8,11.05,11.05,11.05,11.05,11.05,11.05,11.05,11.05,11.05,11.05,11.05,11.05
,,,2.4,2.4,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8
,,,1.6,1.6,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7
,,,0.8,0.8,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7
1.89,1.89,1.89,2.4,2.4,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9
2.49,2.49,2.49,2.4,2.4,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7
5.38,5.38,5.38,2.4,2.4,11.05,11.05,11.05,11.05,11.05,11.05,11.05,11.05,11.05,11.05,11.05,11.05
4.98,4.98,4.98,1.6,1.6,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95
3.7,3.7,3.7,2.4,2.4,12.75,12.75,12.75,12.75,12.75,12.75,12.75,12.75,12.75,12.75,12.75,12.75
,,,2.4,2.4,,,,,,,,,,,,
,,,0.8,0.8,,,,,,,,,,,,
,,,1.6,1.6,,,,,,,,,,,,
,,,1.6,1.6,,,,,,,,,,,,
,,,2.4,2.4,,,,,,,,,,,,
1.88,1.88,1.88,0.8,0.8,,,,,,,,,,,,
1.45,1.45,1.45,0.8,0.8,,,,,,,,,,,,
3.65,3.65,3.65,2.4,2.4,,,,,,,,,,,,
5.78,5.78,5.78,1.6,1.6,,,,,,,,,,,,
4.52,4.52,4.52,1.6,1.6,,,,,,,,,,,,
,,,2.4,2.4,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5
,,,0.8,0.8,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55
,,,0.8,0.8,11.05,11.05,11.05,11.05,11.05,11.05,11.05,11.05,11.05,11.05,11.05,11.05
,,,0.8,0.8,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5
,,,0.8,0.8,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
2.34,2.34,2.34,1.6,1.6,,,,,,,,,,,,
4.52,4.52,4.52,1.6,1.6,,,,,,,,,,,,
3.42,3.42,3.42,1.6,1.6,,,,,,,,,,,,
4.25,4.25,4.25,0.8,0.8,,,,,,,,,,,,
1.56,1.56,1.56,0.8,0.8,,,,,,,,,,,,
,,,0.8,0.8,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9
,,,1.6,1.6,9.35,9.35,9.35,9.35,9.35,9.35,9.35,9.35,9.35,9.35,9.35,9.35
,,,2.4,2.4,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2
,,,1.6,1.6,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7
,,,0.8,0.8,9.35,9.35,9.35,9.35,9.35,9.35,9.35,9.35,9.35,9.35,9.35,9.35
2.34,2.34,2.34,1.6,1.6,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55
1.77,1.77,1.77,1.6,1.6,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7
4.21,4.21,4.21,1.6,1.6,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2
05.03,05.03,05.03,1.6,1.6,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
2.59,2.59,2.59,2.4,2.4,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55
,,,1.6,1.6,,,,,,,,,,,,
,,,2.4,2.4,,,,,,,,,,,,
,,,2.4,2.4,,,,,,,,,,,,
,,,1.6,1.6,,,,,,,,,,,,
,,,0.8,0.8,,,,,,,,,,,,
,,,1.6,1.6,4.82,4.82,4.82,4.82,4.82,4.82,4.82,4.82,4.82,4.82,4.82,4.82
,,,0.8,0.8,7.84,7.84,7.84,7.84,7.84,7.84,7.84,7.84,7.84,7.84,7.84,7.84
,,,2.4,2.4,3.84,3.84,3.84,3.84,3.84,3.84,3.84,3.84,3.84,3.84,3.84,3.84
,,,2.4,2.4,14.82,14.82,14.82,14.82,14.82,14.82,14.82,14.82,14.82,14.82,14.82,14.82
,,,0.8,0.8,10.42,10.42,10.42,10.42,10.42,10.42,10.42,10.42,10.42,10.42,10.42,10.42
,,,2.4,2.4,,,,,,,,,,,,
,,,2.4,2.4,,,,,,,,,,,,
,,,2.4,2.4,,,,,,,,,,,,
,,,1.6,1.6,,,,,,,,,,,,
,,,2.4,2.4,,,,,,,,,,,,
,,,0.8,0.8,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52
,,,2.4,2.4,5.28,5.28,5.28,5.28,5.28,5.28,5.28,5.28,5.28,5.28,5.28,5.28
,,,2.4,2.4,12.42,12.42,12.42,12.42,12.42,12.42,12.42,12.42,12.42,12.42,12.42,12.42
,,,1.6,1.6,15.02,15.02,15.02,15.02,15.02,15.02,15.02,15.02,15.02,15.02,15.02,15.02
,,,0.8,0.8,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37
02.06,02.06,02.06,1.6,1.6,8.17,8.17,8.17,8.17,8.17,8.17,8.17,8.17,8.17,8.17,8.17,8.17
3.69,3.69,3.69,0.8,0.8,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25
4.38,4.38,4.38,0.8,0.8,2.41,2.41,2.41,2.41,2.41,2.41,2.41,2.41,2.41,2.41,2.41,2.41
1.39,1.39,1.39,1.6,1.6,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26
4.29,4.29,4.29,0.8,0.8,2.36,2.36,2.36,2.36,2.36,2.36,2.36,2.36,2.36,2.36,2.36,2.36
,,,2.4,2.4,14.35,14.35,14.35,14.35,14.35,14.35,14.35,14.35,14.35,14.35,14.35,14.35
,,,0.8,0.8,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14
,,,0.8,0.8,11.42,11.42,11.42,11.42,11.42,11.42,11.42,11.42,11.42,11.42,11.42,11.42
,,,1.6,1.6,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74
,,,0.8,0.8,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47
02.01,02.01,02.01,1.6,1.6,8.35,8.35,8.35,8.35,8.35,8.35,8.35,8.35,8.35,8.35,8.35,8.35
3.95,3.95,3.95,0.8,0.8,3.89,3.89,3.89,3.89,3.89,3.89,3.89,3.89,3.89,3.89,3.89,3.89
2.49,2.49,2.49,1.6,1.6,7.36,7.36,7.36,7.36,7.36,7.36,7.36,7.36,7.36,7.36,7.36,7.36
3.29,3.29,3.29,1.6,1.6,4.83,4.83,4.83,4.83,4.83,4.83,4.83,4.83,4.83,4.83,4.83,4.83
4.17,4.17,4.17,2.4,2.4,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.19
,,,2.4,2.4,,,,,,,,,,,,
,,,0.8,0.8,,,,,,,,,,,,
,,,1.6,1.6,,,,,,,,,,,,
,,,1.6,1.6,,,,,,,,,,,,
,,,0.8,0.8,,,,,,,,,,,,